time,temp
186.25,12.5558125869
186.5,12.5558125869
186.75,12.5558125869
187,12.5306031582
187.25,12.5038092468
187.5,12.5038092468
187.75,12.5306031582
188,12.5038092468
188.25,12.5038092468
188.5,12.5038092468
188.75,12.4770061478
189,12.4770061478
189.25,12.4770061478
189.5,12.4770061478
189.75,12.4770061478
190,12.4517712863
190.25,12.4517712863
190.5,12.4517712863
190.75,12.4517712863
191,12.4517712863
191.25,12.4249502807
191.5,12.4249502807
191.75,12.4249502807
192,12.4249502807
192.25,12.4249502807
192.5,12.399698521
192.75,12.399698521
193,12.3728595134
193.25,12.3728595134
193.5,12.399698521
193.75,12.3728595134
194,12.3728595134
194.25,12.3728595134
194.5,12.3728595134
194.75,12.3728595134
195,12.3728595134
195.25,12.3728595134
195.5,12.3460111946
195.75,12.3460111946
196,12.3460111946
196.25,12.3460111946
196.5,12.3460111946
196.75,12.3460111946
197,12.3460111946
197.25,12.3460111946
197.5,12.3207336602
197.75,12.3207336602
198,12.3207336602
198.25,12.3207336602
198.5,12.3460111946
198.75,12.3207336602
199,12.3207336602
199.25,12.3207336602
199.5,12.3207336602
199.75,12.2938671942
200,12.2938671942
